iter	Passed	Remaining
0	12	2516
1	17	1724
2	25	1645
3	30	1474
4	34	1339
5	39	1283
6	45	1264
7	52	1259
8	58	1238
9	63	1209
10	68	1177
11	77	1210
12	82	1185
13	88	1170
14	94	1160
15	99	1142
16	107	1153
17	111	1131
18	119	1135
19	124	1119
20	129	1100
21	136	1103
22	141	1092
23	149	1094
24	154	1081
25	157	1056
26	164	1056
27	173	1064
28	179	1060
29	187	1062
30	193	1053
31	198	1041
32	206	1042
33	211	1032
34	217	1023
35	223	1016
36	230	1016
37	235	1004
38	243	1003
39	248	992
40	252	980
41	260	978
42	265	968
43	273	969
44	278	960
45	286	959
46	291	947
47	296	940
48	303	934
49	312	936
50	317	928
51	325	927
52	332	922
53	342	925
54	348	919
55	359	923
56	369	926
57	375	919
58	381	911
59	387	903
60	392	893
61	402	895
62	408	888
63	414	881
64	425	884
65	432	877
66	440	874
67	446	866
68	454	862
69	458	852
70	464	843
71	470	836
72	476	828
73	483	822
74	488	814
75	497	811
76	502	802
77	509	796
78	515	788
79	520	780
80	527	775
81	532	766
82	539	760
83	544	751
84	553	748
85	558	740
86	565	734
87	571	727
88	577	720
89	583	713
90	589	705
91	596	700
92	602	692
93	608	686
94	613	678
95	619	670
96	625	664
97	631	657
98	638	651
99	643	643
100	651	638
101	657	631
102	664	625
103	669	617
104	674	610
105	680	603
106	685	595
107	691	589
108	697	582
109	704	576
110	709	569
111	715	562
112	722	555
113	726	548
114	733	542
115	738	535
116	748	531
117	754	524
118	762	519
119	767	511
120	772	504
121	777	497
122	782	490
123	790	484
124	794	476
125	803	472
126	807	464
127	813	457
128	819	450
129	824	443
130	833	439
131	838	432
132	848	427
133	853	420
134	859	414
135	865	407
136	871	400
137	876	393
138	882	387
139	889	381
140	894	374
141	900	367
142	906	361
143	911	354
144	917	347
145	921	340
146	928	334
147	933	328
148	939	321
149	944	314
150	950	308
151	957	302
152	961	295
153	967	289
154	973	282
155	978	276
156	988	270
157	996	264
158	1002	258
159	1008	252
160	1014	245
161	1019	239
162	1027	233
163	1034	227
164	1042	221
165	1049	214
166	1056	208
167	1063	202
168	1073	196
169	1078	190
170	1086	184
171	1092	177
172	1099	171
173	1104	165
174	1110	158
175	1117	152
176	1122	145
177	1128	139
178	1136	133
179	1141	126
180	1147	120
181	1152	114
182	1159	107
183	1164	101
184	1169	94
185	1177	88
186	1182	82
187	1191	76
188	1197	69
189	1205	63
190	1211	57
191	1219	50
192	1224	44
193	1232	38
194	1237	31
195	1243	25
196	1250	19
197	1255	12
198	1261	6
199	1267	0
